Elements,Algorithm,Steps,Big O(n),Big Omega(n),Theta(n)
1000,insertionSort,3576798,N/A,N/A,N/A
1000,bubbleSort,5365399,N/A,N/A,N/A
50,Insertion Sort,1244,2500,50,195.6011502714073
100,Insertion Sort,5286,10000,100,460.51701859880916
150,Insertion Sort,11942,22500,150,751.5952941144383
200,Insertion Sort,20052,40000,200,1059.6634733096073
250,Insertion Sort,31852,62500,250,1380.3652294655615
300,Insertion Sort,46780,90000,300,1711.1347423968602
350,Insertion Sort,60758,122500,350,2050.276604069211
400,Insertion Sort,80346,160000,400,2396.5858188431926
450,Insertion Sort,98866,202500,450,2749.1614122439646
500,Insertion Sort,124294,250000,500,3107.304049211096
550,Insertion Sort,151110,302500,550,3470.455053024584
600,Insertion Sort,181688,360000,600,3838.157793129688
650,Insertion Sort,209828,422500,650,4210.032035878294
700,Insertion Sort,243982,490000,700,4585.756234530383
750,Insertion Sort,277778,562500,750,4965.054904897767
800,Insertion Sort,315790,640000,800,5347.689382134342
850,Insertion Sort,357818,722500,850,5733.450897061708
900,Insertion Sort,405714,810000,900,6122.15528699188
950,Insertion Sort,452224,902500,950,6513.638885364858
1000,Insertion Sort,499446,1000000,1000,6907.755278982137
1000,insertionSort,3548844,N/A,N/A,N/A
1000,mergeSort,196080,N/A,N/A,N/A
50,Merge Sort,572,2500,50,195.6011502714073
100,Merge Sort,1344,10000,100,460.51701859880916
150,Merge Sort,2188,22500,150,751.5952941144383
200,Merge Sort,3088,40000,200,1059.6634733096073
250,Merge Sort,3988,62500,250,1380.3652294655615
300,Merge Sort,4976,90000,300,1711.1347423968602
350,Merge Sort,5976,122500,350,2050.276604069211
400,Merge Sort,6976,160000,400,2396.5858188431926
450,Merge Sort,7976,202500,450,2749.1614122439646
500,Merge Sort,8976,250000,500,3107.304049211096
550,Merge Sort,10052,302500,550,3470.455053024584
600,Merge Sort,11152,360000,600,3838.157793129688
650,Merge Sort,12252,422500,650,4210.032035878294
700,Merge Sort,13352,490000,700,4585.756234530383
750,Merge Sort,14452,562500,750,4965.054904897767
800,Merge Sort,15552,640000,800,5347.689382134342
850,Merge Sort,16652,722500,850,5733.450897061708
900,Merge Sort,17752,810000,900,6122.15528699188
950,Merge Sort,18852,902500,950,6513.638885364858
1000,Merge Sort,19952,1000000,1000,6907.755278982137
50,Heap Sort,501,2500,50,195.6011502714073
100,Heap Sort,1249,10000,100,460.51701859880916
150,Heap Sort,2111,22500,150,751.5952941144383
200,Heap Sort,3022,40000,200,1059.6634733096073
250,Heap Sort,3977,62500,250,1380.3652294655615
300,Heap Sort,4936,90000,300,1711.1347423968602
350,Heap Sort,5985,122500,350,2050.276604069211
400,Heap Sort,6979,160000,400,2396.5858188431926
450,Heap Sort,8082,202500,450,2749.1614122439646
500,Heap Sort,9181,250000,500,3107.304049211096
550,Heap Sort,10288,302500,550,3470.455053024584
600,Heap Sort,11347,360000,600,3838.157793129688
650,Heap Sort,12516,422500,650,4210.032035878294
700,Heap Sort,13685,490000,700,4585.756234530383
750,Heap Sort,14822,562500,750,4965.054904897767
800,Heap Sort,15980,640000,800,5347.689382134342
850,Heap Sort,17198,722500,850,5733.450897061708
900,Heap Sort,18364,810000,900,6122.15528699188
950,Heap Sort,19545,902500,950,6513.638885364858
1000,Heap Sort,20808,1000000,1000,6907.755278982137
1000,heapSort,200576,N/A,N/A,N/A
1000,selectionSort,3656193,N/A,N/A,N/A
